Title,Artist,Album,URL,Card#,Year,Youtube-Title,Hashed Info
Mä haluun viihdyttää,Kikka,Mä haluun viihdyttää,https://www.youtube.com/watch?v=XwduZBLFzx4,1099,1989,Mä haluun viihdyttää,e4b3e7997eee71fad34fc1bdcdb114518fbec5218f3dcc57123fdd4562acb0ea
Thunderstruck,AC/DC,The Razors Edge,https://www.youtube.com/watch?v=v2AC41dglnM,819,1990,AC/DC - Thunderstruck (Official Video),eeed47e4f39b24bf0a5f56234a09e91f1ed971cae9bf8bf9e7d649092a1a554e
Oi Beibi,Raptori,Oi Beibi,https://www.youtube.com/watch?v=XFd4zTnJ8jg,1100,1990,Oi Beibi,e28d69520f7250adf7d9530025a67ed6578d87a620489c6481c9ca7f3e55d890
Tästä Asti Aikaa,Kolmas Nainen,Hyvää ja kaunista,https://www.youtube.com/watch?v=2rduNgC9ScA,1101,1990,Tästä Asti Aikaa,0f6d46740dc93080442f8c45cea39f165abd8a8b0df9b74648c400a27bbc1069
Peggy,Samuli Edelmann,Pienestä Kii,https://www.youtube.com/watch?v=Fc4WcdHPhKw,1102,1991,Peggy,591ed850148231cce729dcd8adfc02472e1f2e037fb330e3dc41fafe409e48df
Juppihippipunkkari,Neljä Ruusua,Haloo,https://www.youtube.com/watch?v=AE0ERC9tOJI,1103,1992,Juppihippipunkkari,217c66bfa2f7fa7dec37428b6e5888725e60596b89fbd65eb96383ced33735eb
Walk This Way (feat. Aerosmith),Run–D.M.C.,Raising Hell,https://www.youtube.com/watch?v=4B_UYYPb-Gk,684,1986,RUN DMC - Walk This Way (Official HD Video) ft. Aerosmith,07f524d788230b68b8b439de958e25456ed60376a360eb8c66ca8a9a362a07db
Birdy,22-Pistepirkko,Big Lupu,https://www.youtube.com/watch?v=MTSQakv6fuU,1104,1992,Birdy,3b2a6f6851ab4580bb75c759bd0debd16f3d9826d4a46c5e8c0d8bbeac10cd14
Kemiaa,Neon 2,Polku,https://www.youtube.com/watch?v=uPHczPburbI,1105,1992,Neon 2 - Kemiaa,beccfcb0c7744f0a6ea30bc3a0eff78d0a48639153e8889b9d7be2796ebaa974
Kun Tänään Lähden,Suurlähettiläät,Parhaat Palat Vuosilta 1991-2004,https://www.youtube.com/watch?v=uWF4DXP8ZFc,1106,1993,Suurlähettiläät - Kun tänään lähden,6bdce753a596deaa480ff7ca25a69ec3a9ab1dbde977d5434327d37c5f7ab15b
Raising My Family - Single Mix,Sound of R.E.L.S.,Sound Of R.E.L.S.,https://www.youtube.com/watch?v=gjDPjjKGrfc,1107,1995,Raising My Family (Single Mix),404f39e2df508e81dc44bd754d21a735f2f4084ebaf7ff0a6f5bc0a58c07b467
Bye Bye Baby (Original),Catcat,20 Vuotta - Juhlalevy,https://www.youtube.com/watch?v=L2Pc57R-R7A,1108,1994,Bye Bye Baby (2024 Mix),dc51ad57b5b134ac8c22e2bc5e2c16d89286d0fe9ad0bb684dd6513fda0726f4
Butterfly,Crazy Town,Butterfly,https://www.youtube.com/watch?v=6FEDrU85FLE,328,1999,Crazy Town - Butterfly (Official Video),b967e2dec1f0a9c374ae4c0fecbc90fb218883715cffa0b1ef87d92ca47c5d78
Romeo & Julia,Movetron,Irtokarkkeja - makeimmat hitit,https://www.youtube.com/watch?v=ns5lf81l0T8,1110,1994,Romeo & Julia,93d1e2d0b3abdb48f560987b068926296a6594588d014c8713e5e7231a44f786
Taiteilijaelämää,Ismo Alanko,Taiteilijaelämää,https://www.youtube.com/watch?v=aZitk1o19pA,1111,1995,Ismo Alanko - Taiteilijaelämää,694101fa10334fad1659ab70906887c23e104b6322e9e7a6ba8dbe03ad9ed52d
Naispaholainen,Aki Sirkesalo,Mielenrauhaa,https://www.youtube.com/watch?v=j_2IskCKUBM,1113,1995,Naispaholainen,5a35273818ccb0a482eb5ca080bafafce1588f8b8965f094c1d4fe469261cca5
Rakastuin mä looseriin,Nylon Beat,Nylon Beat,https://www.youtube.com/watch?v=wTBp7KE4gVQ,1114,1996,Rakastuin mä looseriin,c97841623ba5e40a6c10f2c65002129752e87b52b539d9f9a5927ce69112cf90
Kaunis peto,XL5,Suomi Huiput,https://www.youtube.com/watch?v=m6g0dYYgvWo,1115,1996,Kaunis peto,2e387ac1d1a4dc9bf1c42357a6859cfb9e629c65e5b92bb67da4d399c6dbc9c2
