Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
87,Depeche Mode,People Are People,https://www.youtube.com/watch?v=MzGnX-MbYE4,8becade02e63e1234aeb2a96568ab9be6159dfb707f12ab37ccfc4a8ddb3e8bf,Depeche Mode - People Are People (Remastered),1984
88,The Beatles,I Want To Hold Your Hand,https://www.youtube.com/watch?v=_DGATUBGzYo,67f401e8862d254986b0fb3bf1f79772e10c17189bfc09c596470ea11757bec6,The Beatles-I Want To Hold Your Hand,1963
89,Liquido,Narcotic - Radio Edit,https://www.youtube.com/watch?v=PJ7E40Ec5ec,98a1c7ed111f645fb2f514dc6d4a78baa38918a00aa955b4d37862c1a7f54eb9,Liquido - Narcotic (Official Video),1998
90,The Temptations,Papa Was A Rollin' Stone - Single Version,https://www.youtube.com/watch?v=71l85z2bXAs,beba1a441371695e9d70f48674c0d62624fff37de74fc6fc4a4dc70452f62c52,Papa Was A Rollin' Stone,1972
91,Edwyn Collins,A Girl Like You,https://www.youtube.com/watch?v=6oqJ0JpMj6I,a6d8d66c253db7fa5420f72bf52f37c128c467e676a010dfbf8f3af436322763,Edwyn Collins -  A Girl Like You (Official Video),1995
92,Harry Styles,Sign of the Times,https://www.youtube.com/watch?v=qN4ooNx77u0,cca21ac1c4b7493ba3a51401499e86fa2c2d01f5110e76dec70958ff6e3981b3,Harry Styles - Sign of the Times (Official Video),2017
93,Bobby Darin,Dream Lover,https://www.youtube.com/watch?v=HkaPF3owM0Q,5f0723fc127d404c1f2ae4820a6bad9680ae9347a7b08979ba600c92b74646f7,Dream Lover,1959
94,Limp Bizkit,Behind Blue Eyes,https://www.youtube.com/watch?v=Tr8uesBowS4,ba343db2546b22b8bac53c6ffff600c095f2de43d01c8a69e9b927ee4963fbde,Limp Bizkit Behind Blue Eyes,2003
95,Take That,Patience,https://www.youtube.com/watch?v=273eSvOwpKk,c6190389b3b84464f60ab4ca6afef42db7ab8f964cc60fa9a0b92760e85ceb48,Take That - Patience (Official Video),2006
96,Ed Sheeran,Photograph,https://www.youtube.com/watch?v=nSDgHBxUbVQ,05b5f03f3116fd9bd2ccea579e225f56e6f199e0062dd9f537515ee4cdfdc642,Ed Sheeran - Photograph (Official Music Video),2014
97,Shakira,Underneath Your Clothes,https://www.youtube.com/watch?v=uwBwKcQ1k84,6710ee4b8290570472c29b4f2508368bb113bce16a7805ebe25aa71addf0d44a,Shakira - Underneath Your Clothes,2001
98,Erasure,Always - 2009 Remaster,https://www.youtube.com/watch?v=lWqJTKdznaM,b2cc1392c9d3e0110a7e9b4168c116a02404ac613edaa1601a556727bcb8d2ca,Erasure - Always (Official 4k Video),1994
99,Santa Esmeralda,Don't Let Me Be Misunderstood,https://www.youtube.com/watch?v=uvXeeus94GY,79176cf9234cfc49a8ad8704498def8a82f20a0b9a96d96d03479171eb778cd4,Santa Esmeralda - Don't Let Me Be Misunderstood (1977) TopPop,1977
100,Disturbed,The Sound of Silence,https://www.youtube.com/watch?v=u9Dg-g7t2l4,8cccba65dfd784de6711c3d8c997a448f98c618cd8e1cbfa365e91d19c36933b,Disturbed  - The Sound Of Silence (Official Music Video) [4K UPGRADE],2015
101,10cc,Dreadlock Holiday,https://www.youtube.com/watch?v=fUNTk5xsxk4,0920b883ba3bdf779043e5dd5f57818fae85b003502b646d0d6bca0cc7935f9b,10cc - Dreadlock Holiday,1978
102,Backstreet Boys,Quit Playing Games (With My Heart),https://www.youtube.com/watch?v=Ug88HO2mg44,0216e7dbed1e6d67f507f075de40566fa865a60bd38863020126b41e1813df7d,Backstreet Boys - Quit Playing Games (With My Heart) (Official HD Video),1996
103,Rag'n'Bone Man,Human,https://www.youtube.com/watch?v=L3wKzyIN1yk,9d50cf74defa2f1681d46909286f41522e449ede7d16be36817c3d946afd7ce4,Rag'n'Bone Man - Human (Official Video),2016
104,Alcatraz,Crying At the Discoteque,https://www.youtube.com/watch?v=a1fFwOXBxik,656ba4aef6262c60177f4cfd6e399ca5e9ce2bb66eb0bb9e72aa945f9a24a8d9,Crying At the Discoteque,2000
105,The Bangles,Eternal Flame,https://www.youtube.com/watch?v=PSoOFn3wQV4,fb0397fb217a50a55b9e5c45a1272de947c53ad9f0819709179b85c9908cf080,The Bangles - Eternal Flame (Official Video),1988
106,Ricchi E Poveri,Mamma Maria,https://www.youtube.com/watch?v=kB2aezd6ikg,0bf2d9f461cbe0d84fbad88c86707332c6955732103a98bcb2ed710808681c07,Roma - Mamma Maria_ Ricchi e Poveri,1982
107,The Beloved,Sweet Harmony,https://www.youtube.com/watch?v=rP9Z5Pc8cRM,116601ae760b04cbe0d6c386c9a3bd324ce603b6fe55e6472026d7ec1b72ca6a,The Beloved - Sweet Harmony (Official Video),1993
108,Ozzy Osbourne,Dreamer,https://www.youtube.com/watch?v=LCCiwPEdEpg,ada68f28df55e95ed57bbac2370784f4884145516652314220ce0b7309550562,OZZY OSBOURNE - Dreamer (Official Video),2001
109,Melissa Etheridge,Like The Way I Do,https://www.youtube.com/watch?v=p07GhDsZgz4,edad34ae960c0a57b20118511342af9917f11a13e35ba2ceb1168d5914584a62,Melissa Etheridge - Like The Way I Do,1988
110,The Drifters,Save the Last Dance for Me,https://www.youtube.com/watch?v=6ht5FGcSNUM,e40fa0662acc5efa0d4a10d839f6378cf6aa0dc73e9d2fb2cc324293386bfc45,The Drifters - Save the Last Dance for Me (1960),1960
111,Slade,Far Far Away,https://www.youtube.com/watch?v=G76pMAgNZNI,f5ecb8f7931004a8271c414c627c5a0eebbbb9741263b6c55517a1ab5498ca22,Slade - Far Far Away (Official Audio),1974
112,John Kincade,Dreams Are Ten A Penny,https://www.youtube.com/watch?v=T8QTJumrb-s,7b5960726cc5ba7be4ac1caa092d74afc60182317dfe5bdaff5aef063f8e2660,John Kincade - Dreams Are Ten A Penny - 1973 - Fitness Center Top-Fit - Best Hit,1972
113,Nickelback,When We Stand Together,https://www.youtube.com/watch?v=oYT-6UrJbqw,120145035bc06a7b380950a59b034abb1c2ade837f92a274cd7a6fe0c8e4bca2,Nickelback - When We Stand Together [Official Video + Download!],2011
114,The Buggles,Video Killed The Radio Star - Single Version,https://www.youtube.com/watch?v=ID_xOeAx1QE,a7a13c3ecbbaaa39163ef49dd83254e84a23bd68e5e4e6191fb6e7805a783f11,The Buggles - Video Killed The Radio Star - 45rpm - 1979,1979
115,Leona Lewis,Run,https://www.youtube.com/watch?v=jqpAgMxhx30,46fa9f6e19ae906a28a8c4b801805de76aafb71d6e8942cc9691da499c7f0a15,Leona Lewis - Run (Official Video),2008
116,Bill Withers,Ain't No Sunshine - Single Version,https://www.youtube.com/watch?v=YuKfiH0Scao,fdfdf0dd06c8a994da2b27a859137993df9e697a8b69cfb719f1a0056442ef5e,Bill Withers - Ain't No Sunshine (Official Audio),1971
117,Travis,Why Does It Always Rain On Me?,https://www.youtube.com/watch?v=PXatLOWjr-k,3b5990533c5c5a9ff3865fbf97d5ecd9f84084adc7ed35a6b6f984bf88d92bb0,Travis - Why Does It Always Rain On Me? (Official HD Music Video),1999
118,Falco,The Sound of Musik,https://www.youtube.com/watch?v=SkA9G4-fYm8,f9321da2a840ec69ddceca93090cebf12c254ae0b27252f344854409cf4d4269,Falco - The Sound of Musik (Official Video) (HD Version),1986
119,Sandra,Maria Magdalena,https://www.youtube.com/watch?v=Cu68U1X_kXA,c1fc2718dc139ed946f276cf6a1597ee6950b0a070c94679263495f0d5ba28cc,Sandra Maria Magdalena Fan Made video,1985
120,Jennifer Rush,Destiny,https://www.youtube.com/watch?v=WXS0YMbUzo4,aa1e1b5535fa450dfb67c87a3ffe00607f8c93a206e9285e0b155884fceb95d9,Jennifer Rush - Destiny (ZDF Tele-Illustrierte 16.09.1985) (VOD),1985
121,Roxette,How Do You Do!,https://www.youtube.com/watch?v=nx2iLOvP0rM,281bfac50c2ce037e95a49f8b99b9cb2d78ef6d2790506f1a15b6e9d7f3dd1c1,Roxette - How Do You Do!,1992
122,America,The Last Unicorn,https://www.youtube.com/watch?v=3WcUIJYQSt4,4dee98e79817060c5594436d35fc1bccda6f8fecafa4e5e7bf1b4994a999c765,The Last Unicorn,1982
123,The Alan Parsons Project,Lucifer,https://www.youtube.com/watch?v=fLZPj-dJfJQ,715d1d33aaa65b42ea5ffbe2b7cae2f0667c6bb16512f4407c34c812bbb141e4,Lucifer,1979
124,Blondie,Maria,https://www.youtube.com/watch?v=xhKKqLX67E8,17b01775354bb438a315883b94148c4bb8557764d7bb01b849e63ac333d6d9f5,Blondie - Maria (Official Video HD),1999
125,Donna Lewis,I Love You Always Forever,https://www.youtube.com/watch?v=SqdWTeXWvOg,c6f9ac8b9b1c2144f05dbab0b9a55b58f949d4778a5aaf18285f86c15ac80cda,Donna Lewis - I Love You Always Forever (Official Music Video),1996
126,Sting,Englishman In New York,https://www.youtube.com/watch?v=d27gTrPPAyk,2477da8bd254762ab4e670591f9abc847b60ccab98ae9fac0fc4fff781933465,Sting - Englishman In New York,1987
127,The Supremes,Where Did Our Love Go,https://www.youtube.com/watch?v=TI811Bbrxw4,d11c769706ae1afa062316456c20e0788eba381754a5a67c5c866a29ceecf428,THE SUPREMES - Where Did Our Love Go [1964] (Official Original Music Video from ,1964
128,Dusty Springfield,Son Of A Preacher Man,https://www.youtube.com/watch?v=oAZLgsDRUv4,2cd293fd4234ce55944e6bf9cbdbd50497c16d2a8ac44ac6ab0bc006643e2001,Dusty Springfield - Son of a Preacher Man (Official Audio),1968
129,Timbaland,Apologize,https://www.youtube.com/watch?v=ZSM3w1v-A_Y,c649ec94aa8426ddacf34b6fc92921ac876177bc9d9880e5f10994ed15b715c5,Timbaland - Apologize ft. OneRepublic,2007
130,Nick Straker,Walk In The Park,https://www.youtube.com/watch?v=dVf7axhrD_o,e10ef7ed0efeb9edf9b5a6fb6235a6ca1c8ae6d55f7bf632a0bea6c646961ccd,The Nick Straker Band - I Walk In The Park  (Tradu[LATIN SMALL LETTER C WITH CED,1979
131,East 17,Stay Another Day,https://www.youtube.com/watch?v=-wNhdjoF-6M,3b342ea40510fa66ad9e3a4037f23bf394f98cce54aa3f4b6dc978feb1e6f9a7,East 17 - Stay Another Day (Official Video),1994
132,Herman's Hermits,No Milk Today,https://www.youtube.com/watch?v=UnUcnQ6YKao,bcb90355f779915208f924507b0d88d1dea28fc35ad7bdecb460c6362d47de1b,Herman s Hermits No Milk Today,1966
133,Caro Emerald,A Night Like This,https://www.youtube.com/watch?v=74LXx0wSqMI,1ccede6f5e5316863c92e77bd87123c941bfa4a07712cae5627c601f6fe518db,Caro Emerald - A Night Like This (Official Video),2009
134,The Box Tops,The Letter,https://www.youtube.com/watch?v=pyq3PUTnpd0,fa48093a2bdadd9f0c6ff1ec637040dde3d0ccee2453ce59741fd954a8ee1bd3,The Box Tops - The Letter (Audio),1967
135,Yusuf / Cat Stevens,Father And Son,https://www.youtube.com/watch?v=B_H5XuIb5WM,9be8c01c4033502ed5f3268146029bf0d220dfdd23745348a70b179f6168f4d5,Yusuf / Cat Stevens - Father And Son,1970
136,Taylor Swift,Anti-Hero,https://www.youtube.com/watch?v=b1kbLwvqugk,dc49c82980ec41e4b0c0e023900f806e9c7ba9bbccb4e04082e830810a49aac2,Taylor Swift - Anti-Hero (Official Music Video),2022
137,Boy Meets Girl,Waiting for a Star to Fall,https://www.youtube.com/watch?v=RhxF9Qg5mOU,b94fa124c36138955ff710903145fd5826b52cebb46d27ca980c2255d979fe09,Boy Meets Girl - Waiting for a Star to Fall,1988
138,REO Speedwagon,Keep on Loving You,https://www.youtube.com/watch?v=wJzNZ1c5C9c,b7f8042ff111c4ed0830fff4023964a04828539fe03b7aecc1c001ef94865bf5,REO Speedwagon - Keep on Loving You (Video Version),1980
139,Dario G,Sunchyme,https://www.youtube.com/watch?v=yFKhgF_vkgs,6a58a7e2ebc7cd497a98d5d8e02b47100c607bd046cdbe085fa4028001836cf3,Dario G - Sunchyme (Official Music Video),1997
140,a-ha,Foot Of The Mountain,https://www.youtube.com/watch?v=WYlSpDhul_A,f95e30ebcddb5ce629d4f7f881ca7a8ae09656dbe0952b437eabdfa9e93cd7f0,A-ha - Foot Of The Mountain (Official Music Video),2009
141,Maroon 5,Memories,https://www.youtube.com/watch?v=SlPhMPnQ58k,08f49de8d2b940b0236700601672765cbe63ca52e72495360410d49b9884928e,Maroon 5 - Memories (Official Video),2019
142,Harpo,Moviestar,https://www.youtube.com/watch?v=cYpYM0kMNDM,eda7a17240b166d7d006c0d3c77a22a92559fdaca4a8377d1e161d35f5eecd08,Harpo - Moviestar / Best Audio Video Mix 1976 ( Toller schwedischer Pops[LATIN S,1975
143,CYRIL,Stumblin' In,https://www.youtube.com/watch?v=57VMB1IzLKY,8d20b39e8c2ec9d6a2c451ee4d8782f9757ffc442ec49c3c249bc9e6a4c8154c,CYRIL - Stumblin' In (Official Music Video),2023
144,Queen,Bohemian Rhapsody,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,d0a3355898f0c40b637de792416161967e71d3c774fba2959df274808cffc0de,Queen – Bohemian Rhapsody (Official Video Remastered),1975
145,Suzi Quatro,If You Can't Give Me Love,https://www.youtube.com/watch?v=tY1o9zWht50,b5f1bc7b8ec08cd148dbe5b45ce1f8c672f9ad5b299b036dd445b8b83ff69140,Suzi Quatro - If You Can't Give Me Love,1978
146,Meredith Brooks,Bitch,https://www.youtube.com/watch?v=_ivt_N2Zcts,8ba8aca59d4a98b67b5951f798f370b17b14ee10d79d5ffea79268a8f16c4f8b,Meredith Brooks - Bitch (Official Music Video),1997
147,Men At Work,Down Under,https://www.youtube.com/watch?v=XfR9iY5y94s,ce3073b57cd8ae482b1cfe077504277d14ca7ceffe33806d5606288628aae43f,Men At Work - Down Under (Official HD Video),1981
148,Elvis Presley,Don't Be Cruel,https://www.youtube.com/watch?v=B2YwGBVSfFQ,b7af1a5e55f1d709776044539955b8f2c50c7410807ca6c1ce8cd3e5d714866f,Elvis Presley - Don't Be Cruel (Official Lyric Video),1956
149,Blue Swede,Hooked On A Feeling,https://www.youtube.com/watch?v=bCHvzQnL8kQ,78e6a5d1e9b3c60a892cbd2aa99287632a4f8f148b1c1008d59ea2b5be516917,Blue Swede - Hooked On A Feeling (Official Audio),1974
150,Simon & Garfunkel,The Boxer,https://www.youtube.com/watch?v=l3LFML_pxlY,052d6f1b023c3a3002b5730382325a384a55165d371f70d0a5cee459092aa2c2,Simon & Garfunkel - The Boxer (Audio),1969
151,Twisted Sister,We're Not Gonna Take It,https://www.youtube.com/watch?v=4xmckWVPRaI,fd3b710d14ba4503b525ab0ee0b65c0f9f5fedf3572dfb77ba1d80b030f527a1,Twisted Sister - We're Not Gonna Take It (Official Music Video),1984
152,Chris de Burgh,Don't Pay The Ferryman,https://www.youtube.com/watch?v=lqZEp4Fb6qw,5b57b457302e7a8fa87167596f599fdfd3f72a18c1684f4bf7e0f00c489ebb14,Chris De Burgh - Don't Pay The Ferryman,1982
153,Andru Donalds,All Out Of Love,https://www.youtube.com/watch?v=-W43K0qtwZU,21f16033443230c3800e0cf6fd3878a4c4f604eba6cad02e9243875ae2aa10dd,Andru Donalds - All Out Of Love (Official Music Video),1999
154,Westlife,World of Our Own,https://www.youtube.com/watch?v=Jal-vzO8bVE,21a91b218c721748d633abf0949388276ad2d418a1da1c42448c326b28d1b675,Westlife - World Of Our Own (Official Video),2002
