Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Hells Bells,AC/DC,1980,https://www.youtube.com/watch?v=etAIpkdhU9Q,e7cb0a9a924b087f7cd6220e628425406da7824ad5876217990ee369b8aba4b8,AC/DC - Hells Bells (Official 4K Video),AUAP08000041
2,Hard To Handle,The Black Crowes,1990,https://www.youtube.com/watch?v=BRcs_OzQb14,823cdd99bd85aa266f71ba0d424deb19ca95a0824ac1bfe9ff14ddc9a91c0e21,The Black Crowes - Hard To Handle,USSM19000343
3,Purple Rain,Prince,1984,https://www.youtube.com/watch?v=GaJcBJQi7bY,0d52376fb278e30bb477c3411271d7b09482663aa21e36cf475e275437f36991,Prince & The Revolution - Purple Rain (Official Video)_ HD (Digitally Remastered,USWB10001880
4,Wild Thing,The Troggs,1966,https://www.youtube.com/watch?v=-hB-zLPe3Bo,8cd282173413c198f0e9dc0cccd9bea62d58b0bb31837f679d57cf1c0ddf693b,The Troggs- Wild Thing (Official Video) HD,GBF086600001
5,Prey,Parkway Drive,2018,https://www.youtube.com/watch?v=WZPZ_-BxORo,000c384f11da6b3eaae1506e364cd2093f8d99031b60fee217fd507bb366ccaa,Parkway Drive: Prey (Radio Edit),USEP41712003
6,Feel Invincible,Skillet,2016,https://www.youtube.com/watch?v=nZYa7vjjPv0,c54ab15408d34e437c94df19469a4f0bbae4250c474630d203f5e148dc32fb7a,Skillet - Feel Invincible - 2016 - Lyric Video,USAT21601370
7,B.Y.O.B.,System Of A Down,2005,https://www.youtube.com/watch?v=zUzd9KyIDrM,142da730ecf7c868cc339531bb95b8b7f9d7b8c51f969bde7e9257b8445a9ed8,System Of A Down - B.Y.O.B. (Official HD Video),USSM10501327
8,Machinehead - Remastered,Bush,1994,https://www.youtube.com/watch?v=5WPbqYoz9HA,4c019321b9373c2acdc016f7c33796184962df5a4b28d553157d0e707f3ef2e3,Bush - Machinehead,QM7YK1400021
9,Basket Case,Green Day,1994,https://www.youtube.com/watch?v=VKjEdYrx9P0,dafbd2691b68a08a606d6e4573a8da73a6c21d491c090ddbff2c0d863e5eb14e,Basket Case - Green Day,USRE19900151
10,Call Me,Blondie,1980,https://www.youtube.com/watch?v=StKVS0eI85I,b30bb308fbcfae4cd7761b1461adc7c4ada7935d43b0db5356769e538fad8f0c,Blondie - Call me,USCH38900008
11,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://www.youtube.com/watch?v=-p8GXZcdrIk,1f32ef46f022e84805900662d99778f2c832f73e1991d3c094b5b9520b2c24a9,Lynyrd Skynyrd - Sweet Home Alabama (Lyric Video),USMC17446153
12,Fear of the Dark,Iron Maiden,1992,https://www.youtube.com/watch?v=p32b5nNq1zw,617303d21bb6d6c080f29c1e2ce5e552f6e1b204d9da3ed6a9cbf9a33fde764d,Iron Maiden - Fear of The Dark (HQ),GBCHB1800082
13,With Or Without You,U2,1985,https://www.youtube.com/watch?v=ujNeHIo7oTE,9798711079c92570454f7edc9ddbbdd58166199fea3c8dcabb2159954b54eed1,U2 - With Or Without You (Official Music Video),GBAAN8790003
14,Just Like Heaven,The Cure,1987,https://www.youtube.com/watch?v=n3nPiBai66M,6bbd18a8158d9f10ffdf03a95e6f1c3244e80d4edfee59c23c215fc9d5a31727,The Cure - Just Like Heaven,GBALB8700003
15,Champagne Supernova,Oasis,1995,https://www.youtube.com/watch?v=tI-5uv4wryI,d2956d2ce4a0542d3b370c3ca257d241b5c69929b6ec562e12d3cf21f475abab,Oasis - Champagne Supernova (Official Video),GBAAW9500197
16,Psychosocial,Slipknot,2008,https://www.youtube.com/watch?v=MjsUzI_BtGk,d14b87d45b6636b481b043e631f378399e44eefa728a65bddf94896d94ca01db,SLIPKNOT - Psychosocial (Official Music Video),NLA320886993
17,(I Just) Died In Your Arms,Cutting Crew,1986,https://www.youtube.com/watch?v=6dOwHzCHfgA,5264a47ef0054b2bab2a3ec2488e0d47fb423fcea4d7a5b9c767cbfc0c7e08da,Cutting Crew - (I Just) Died In Your Arms (Official Music Video),GBAAA8600046
18,Give It Away,Red Hot Chili Peppers,1991,https://www.youtube.com/watch?v=R1qnNknKLsg,b0c3a06e8b2edc1d63800580062f9371a7e6873cf3d69930f40c574312cd5933,Red Hot Chili Peppers - Give It Away (Official Music Video),USWB19901574
19,Bloody Valentine,MGK,2020,https://www.youtube.com/watch?v=wSdT-SArM2Q,dc0eac00bce6b3de89f6e2826277ba43740b3743debb693c4c8f5c0ac00f37ae,Machine Gun Kelly - Bloody Valentine [Official Video],USUM72005714
20,My Generation,The Who,1965,https://www.youtube.com/watch?v=qN5zw04WxCc,69b6117128f782dabc613ae1f22f1cfaf1aa96010ffec8522850ddf72981b0c9,The Who - My Generation,GBAKW6500004
21,Panic,From Ashes to New,2020,https://www.youtube.com/watch?v=f0xn-M4T3AQ,d8a1f01f19be4a6afb3f916bd66a6c1747ff0e4e76cbea3b9136e48f79838589,From Ashes to New - Panic (Official Music Video),USDPK2000008
22,Highway Tune,Greta Van Fleet,2017,https://www.youtube.com/watch?v=aJg4OJxp-co,3d1e2866c7983b3752517c562e46d0be0bb689902ff1af08e79bf0c6fa0a9e01,Greta Van Fleet - Highway Tune (Official Video),USUM71702892
23,Sunshine Of Your Love,Cream,1967,https://www.youtube.com/watch?v=mChxWMlsuzw,20b21659128e4e2c1253ac8a18a2cd41b2c1d6ae93d6106dd0c1da51deed754e,CREAM Eric Clapton  Sunshine Of Your Love  LIVE! 1968 w Glen Campbell 50th Anniv,GBA076700020
24,Drop Dead Cynical,Amaranthe,2014,https://www.youtube.com/watch?v=RdyExxpd3Pg,1f2fe820b092b6774762f475c668e15414a4f4d7c393d611114338daad2b3d4d,Amaranthe - Drop Dead Cynical (Official Music Video),FIUM71400483
