Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
26,Time After Time,Cyndi Lauper,1983,https://www.youtube.com/watch?v=VdQY7BusJNU,38244f9217c4d13b11819cb45f42d00df8535ec9990c2505eadbbde9fe8b7485,Cyndi Lauper - Time After Time (Official HD Video),USSM18300650
27,Corazon Espinado (feat. Mana),Santana,1999,https://www.youtube.com/watch?v=t6omUxqhG78,675236ce417162986a7ec994be48fbcabc077e0542856b705bae059848350299,Santana - Corazon Espinado (Video) ft. Mana,USAR19900037
28,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,https://www.youtube.com/watch?v=GgnClrx8N2k,1223e5d3f78685490878e0f410cd07a8de709b72584d12cc18a494833ca47962,The Rolling Stones - Sympathy For The Devil (Official Lyric Video),USA171810010
29,Jubel - Radio Edit,Klingande,2013,https://www.youtube.com/watch?v=l5ojX-Z9hNk,f21f22bbf7a2f212279ed7314c68fbf610cf1b223f4c2f1392379f99e2a02684,Klingande - Jubel (Official Music Video),FR9W11310765
30,Loser,Beck,1994,https://www.youtube.com/watch?v=YgSPaXgAdzE,71b86157651915a97286552159583b5b3aa77ff550c3dbd9b9c28eb23fa4371e,Beck - Loser (Official Music Video),USGF19463401
31,Waiting For Love,Avicii,2015,https://www.youtube.com/watch?v=ZMNekAx3LHI,38508efce119520298f70eadcee8989762a759a119c4a8f2caae0159e4996670,Avicii - Waiting For Love (Official Video)(Black & Whait),CHB701400134
32,Demons,Imagine Dragons,2012,https://www.youtube.com/watch?v=mWRsgZuwf_8,16298eee9dfd72272bbadbaed2acdd6f5c00ce08aa57e34ab650e97ee798291f,Imagine Dragons - Demons (Official Music Video),USUM71201071
33,That's Not My Name,The Ting Tings,2007,https://www.youtube.com/watch?v=v1c2OfAzDTI,a259002f4cc58669703be0c0ca51c9578988a4fe551968a03cb8be2f4aaf759c,The Ting Tings - That's Not My Name (Official Video),GBARL0800038
34,What's Up?,4 Non Blondes,1993,https://www.youtube.com/watch?v=6NXnxTNIWkc,1d89abadb8389b952393662c2d7e019935fb03a63fc2d67327201673b84f5377,4 Non Blondes - What's Up (Official Music Video),USIR19200553
35,Heat Waves,Glass Animals,2020,https://www.youtube.com/watch?v=mRD0-GxqHVo,d6db8dc89dd9534b966f8ae627c7280bd5775c0d595a590278ff165328edcd33,Glass Animals - Heat Waves (Official Video),GBUM72000433
36,"Irgendwie, irgendwo, irgendwann",Nena,1984,https://www.youtube.com/watch?v=oMHLkcc9I9c,207d91e699febeeeedcfefec4fd944557966d3f029784a63a48ec60002f02d35,NENA | Irgendwie · Irgendwo · Irgendwann [1984] [Offizielles HD Musikvideo],DEE869901718
37,Vermissen (feat. Henning May),Juju,2019,https://www.youtube.com/watch?v=YHbYAUs9JCo,712e54122f407f6f9549ce5a9b658aa55efdf7a337fd70a2355273fc74f76f1f,Juju feat. Henning May - Vermissen (prod. Krutsch) [Official Video],DEVX51900045
38,Der Mann im Mond,Gus Backus,1961,https://www.youtube.com/watch?v=F9pNxCcx40c,718098e7d1c624fe6272f33ac7580e4256be49717103aeb4642eab88c597be82,Der Mann im Mond,DEKB72057250
39,"Right Here, Right Now",Fatboy Slim,1998,https://www.youtube.com/watch?v=l0i6jBM15Bg,e21d28eb9da944ae931787bf2dcfa8773ad8f7e26ad19de19e6e4074f11b00ee,Fatboy Slim - Right Here Right Now (Official Audio),GBBMQ9900047
40,Ain't Your Mama,Jennifer Lopez,2016,https://www.youtube.com/watch?v=Pgmx7z49OEk,75e4eb3f60f4cc0a4f0acd65e849aea515617306191691902238b1b6e082b0d1,Jennifer Lopez - Ain't Your Mama (Official Video),USSM11602625
41,All The Small Things,blink-182,1999,https://www.youtube.com/watch?v=9Ht5RZpzPqw,f3ea8767501b92b55f5635cb67280a16a0d0ad3d2ac1933dd1ad7888fb56f9bd,blink-182 - All The Small Things (Official Music Video),USMC19959123
42,Animals,Maroon 5,2014,https://www.youtube.com/watch?v=qpgTC9MDx1o,9d31568f4ec6719d61a242a534fc902a3f74435f72481d4ee90686bc15e4cc11,Maroon 5 - Animals,USUM71409576
43,Like a Rolling Stone,Bob Dylan,1965,https://www.youtube.com/watch?v=IwOfCgkyEj0,2c45408a59782f057db019386a7a4f7281c01e3599f4adf3cba2b28c610a0027,Bob Dylan - Like a Rolling Stone (Official Audio),USSM19922509
44,Highway to Hell,AC/DC,1979,https://www.youtube.com/watch?v=l482T0yNkeo,a208b9fec99e6c1df16bb6c44b451914959e94de525c80a4583ee1e711caffe7,AC/DC - Highway to Hell (Official Video),AUAP07900028
45,Breathless,The Corrs,2000,https://www.youtube.com/watch?v=3JyYwlkB9ak,0487aada81934edf54b6660268b6f6e20e9eba0314d1948dd7ecc3df9db889ef,The Corrs - Breathless [Director's Cut] (Official Music Video),USAT20001907
46,My Sweet Lord (2014 Remaster),George Harrison,1970,https://www.youtube.com/watch?v=1EORbL8N-R8,c14e44ec4336265a522bbaed98b2bff41d69087b38d559f779fcd7ab6ed178e7,Billy Preston - My Sweet Lord (Live),GB77R1400026
47,Rhythm Is a Dancer,SNAP!,1992,https://www.youtube.com/watch?v=JYIaWeVL1JM,9225b6e7c085da9a589230379997c20e8f7790bef33abbe53aadca93e3844f05,SNAP! - Rhythm Is A Dancer (Official Music Video),DET189200600
48,It Must Be Love,Madness,1981,https://www.youtube.com/watch?v=vmezIIrFQmY,9b63db5fcaad01ae53d25fdec84240a39e7f69258d2469b288393403c9b2ae44,Madness - It Must Be Love (Official HD Video),GB7GZ0900018
49,Für Dich,Yvonne Catterfeld,2003,https://www.youtube.com/watch?v=bf4cUnzNfeQ,4b826301e7b993c6cf4f335d32bafd490d4f9fafab9b3aea7d1b7fb16c1235be,Für Dich,DEC760300066
50,Mirror Mirror - Remastered 2007,Blind Guardian,1998,https://www.youtube.com/watch?v=CNGCvI9dpZY,ee3f16127cfc2ab9362f695903636166f288d909304a64e50968ca3b5dfc51fb,Mirror Mirror (Remastered 2007),DED831701047
51,In The Air Tonight - 2015 Remastered,Phil Collins,1981,https://www.youtube.com/watch?v=YkADj0TPrJA,aee10b3b67c9840c5b01747d32fcebf94a041dc04be467d1ce5e8c82936e8ddd,Phil Collins - In The Air Tonight (Official Music Video),USAT21502120
