Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info
88,The Script,Superheroes,2014,https://www.youtube.com/watch?v=0y7ygEDRpSo,The Script - Superheroes (Audio),1932ff5f50d92fe0c7a6817e874ad4fa72c8d18fbed62e4f39f6af7afd5c5c89
89,Nirvana,Smells Like Teen Spirit,1991,https://www.youtube.com/watch?v=hTWKbfoikeg,Nirvana - Smells Like Teen Spirit (Official Music Video),24463589897e88323496df7a01d934b95debb1b092383c8f3e96efdcad0ce5f2
90,Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,1954,https://www.youtube.com/watch?v=Ud_JZcC0tHI,Rock Around the Clock-Bill Haley-original song-1955,3762e4ecd152c544fb450f9f6e95504292bffca7eb58413f9a1f38334ce21696
91,Diana Ross,Upside Down,1980,https://www.youtube.com/watch?v=5zyidkj2fpo,Upside Down (Original CHIC Mix),767783e7192375d02ad2973150701eeddc1a4023a08636f487eb2a948aa686ce
92,Milli Vanilli,Girl You Know It's True,1989,https://www.youtube.com/watch?v=RdSmokR0Enk,Milli Vanilli - Girl You Know It's True,7f9231d2066463800dee1d5d5914676488033a4371f94ebb2ed4f511f09d1795
93,Rufus & Chaka Khan,Ain't Nobody,1983,https://www.youtube.com/watch?v=BNirQXe8HOA,Rufus and Chaka Khan - Ain't Nobody [HD Remaster] (Official Video),53c51d80f4e96f281c4f965d3c4a166e3774b24904718da3c9edc46a01d1e6d6
94,Cream,White Room,1968,https://www.youtube.com/watch?v=ond4Wp9nPhM,Cream - White Room,98df78b8247b0849f5ef7c6a5cd67aad5327e66a613560797b047bd3b9d0703f
95,Eddy Grant,Gimme Hope Jo'anna,1988,https://www.youtube.com/watch?v=R-ZplG81oZg,Eddy Grant - Gimme Hope Jo Anna  1988,b7737756a8b5587513c1f7f75e2dbecbc9a91f1a0408044d3b228eb2d6ee6a40
96,Mark Morrison,Return of the Mack,1996,https://www.youtube.com/watch?v=1ZfjB5P7RS0,Return of the Mack,c04bc92d6089df2815a66219eb1bd1dbd8297d76ea8ff90ccec606446555fb32
98,Meghan Trainor,All About That Bass,2014,https://www.youtube.com/watch?v=Fccz4gz5erM,All About That Bass,980c4ce5e76d55774aa033e12c09495a96c34cacef1e69b85ea1ae1beff83a2b
99,Coolio (feat. L.V.),Gangsta's Paradise,1995,https://www.youtube.com/watch?v=Tw0_qHNRAEA,Gangsta's Paradise,3a7fa3117a5a154583409dd45d8dbca3521259f7919c5a8e3915a49fa10b65f5
97,Pearl Jam,Alive,1991,https://www.youtube.com/watch?v=wGiTPgvKktM,Pearl Jam - Alive,7091536e4cbde7018cf991ccd52aeb1b27ca89f1dbf570865eb922ecc9b31b3b
100,The Supremes,You Can't Hurry Love,1966,https://www.youtube.com/watch?v=ovoBi3pXD_A,The Supremes - You Can't Hurry Love (Official Lyric Video),a1a50686dd05464484b787a20b31fad5c8b9b2b464866575da0798f24236593e
101,Mariah Carey,We Belong Together,2005,https://www.youtube.com/watch?v=Yg9KJW2Zi3c,We Belong Together,33eb202153e6272f6c1c50edd3ab27e80c5ff32fe3ca3925a3a9c6a003ec73c4
102,Daryl Hall & John Oates,Maneater,1982,https://www.youtube.com/watch?v=yRYFKcMa_Ek,Daryl Hall & John Oates - Maneater (Official Video),b6f9594aba3ce1a1261f6784e4f6505b41b35b55ede645da89a40611fed6fd93
103,Mary J. Blige,Family Affair,2001,https://www.youtube.com/watch?v=1wh_UYUA0oA,Mary J. Blige - Family Affair (Lyrics),5c67cfba23f77071920169182429dc7b28dad405ba2a0ff42428fbd6d6a67890
104,Roxette,The Look,1988,https://www.youtube.com/watch?v=LlVI7ZNiFlI,Roxette - The Look,cfe223cf49d1e3f80378c57cb9e2f0e6fe3eac321c75e10b896485348f39cf28
105,Bill Haley & The Comets,"See You Later, Alligator",1956,https://www.youtube.com/watch?v=NMP6IGJXG3o,"See You Later, Alligator",522710437c02cc32291f3c2daf37cc54fac4f91f60573b6457cacf7ae96cbba2
106,Eagles,Hotel California,1976,https://www.youtube.com/watch?v=BciS5krYL80,Hotel California (2013 Remaster),aef08fbc03eb9fd6757402c8b0aea669776b5a4838a09d91f9a1956b1e6d8e84
107,Wet Wet Wet,Love Is All Around,1994,https://www.youtube.com/watch?v=1KoKHMcy_hQ,"Love Is All Around (From ""Four Weddings And A Funeral"")",59e48420e5573096c78ea5cc6c94dc97ecc2503455f27600165f40be3cb1d3f5
108,Barry White,"You're The First, The Last, My Everything",1974,https://www.youtube.com/watch?v=E7zmRvhFEYo,"You're The First, The Last, My Everything",3303b0bfce1e69370892a0866ae31dcf55e79bdc4a7182c24c18b3025bfe14b8
109,Prince,Purple Rain,1984,https://www.youtube.com/watch?v=347vCib_lMs,Purple Rain,7707c2be952d21dc9f0a01f6a23c725a14fc0b2f6dae35472964e8d14d5a4ed0
110,Elvis Presley,Jailhouse Rock,1957,https://www.youtube.com/watch?v=PpsUOOfb-vE,Elvis Presley - Jailhouse Rock (Official Audio),02242b58761eecaa7e201aefe62d48e2dd19cd3c0dae307f2ae401ec30cfb58a
111,Betty Everett,It's In His Kiss (The Shoop Shoop Song),1964,https://www.youtube.com/watch?v=B4KN6TFhy2I,Betty Everett - Shoop Shoop Song  (it´s in his kiss),302f34a8cc3c4cc61da9a61ea393d4d947be43a660929f56f6882b0484b0bab9
112,Ed Sheeran,Bad Habits,2021,https://www.youtube.com/watch?v=ho1RzYneMtM,Ed Sheeran - Bad Habits,a2470982875a0ecc53bbcb8d3a261abb86c42259ff73c3ce16d09d9cd2308165
113,Desiigner,Panda,2015,https://www.youtube.com/watch?v=X7UqPXvWUzw,Panda,7d8919daa79b995c57d6a93ca89c5be8f970d0e33e5591b400fe78570f7984b7
114,Harry Belafonte,Day-O (The Banana Boat Song),1956,https://www.youtube.com/watch?v=YO7M0Hx_1D8,Day O (Banana Boat Song),3aa3ea8f92208d8d33510adb6870a70dba08abc279b3d1c655a08a76f6254ee2
115,Mabel,Don't Call Me Up,2019,https://www.youtube.com/watch?v=V35iQO30Xys,Mabel - Don't Call Me Up,97f9f21bba5181ccfddb59502a1a07666cb9c6a3bba98b5203e597798e461fc7
116,The Chordettes,Lollipop,1958,https://www.youtube.com/watch?v=_kXKUSAbvuM,Lollipop,03e098aa6557feaffcb5b40420736ac1ed36b5693162cafadddd0d694ceab6b2
117,50 Cent,In Da Club,2003,https://www.youtube.com/watch?v=_VXUiAJi5KY,In Da Club,fb6eb84ea5e3fd38e6d2577e21ca08ff84f1df2f1b86c9dcc173127015c09368
118,Mark Ronson (feat. Amy Winehouse),Valerie,2007,https://www.youtube.com/watch?v=j8EEtnzLzaA,"Amy Winehouse, Mark Ronson - Valerie (Version Revisited) (Official Audio)",558055e7445d1e55c8520b6b6d2b4e8aadeb9106ff90a81e5d37d067be288818
119,Aretha Franklin,Respect,1967,https://www.youtube.com/watch?v=9iayJ8u4Qew,Respect,b3b49901cb7f050808d3c6ba031f0fba5c8e06235f5fb0cae161398568734c4b
120,Manfred Mann,Do Wah Diddy Diddy,1964,https://www.youtube.com/watch?v=1UingsUi0mI,Do Wah Diddy Diddy,462e7b973ae8eabf2af29d5af045c47986fc281f1fb78b1362d2ecb81176c884
121,Pharrel Williams,Happy,2013,https://www.youtube.com/watch?v=ZbZSe6N_BXs,Pharrell Williams - Happy (Video),7878bf7cbe23768f8a8f4b541acdee6f6a9edf95f761e3839b03082897a9d4fc
122,Amy Macdonald,This Is The Life,2007,https://www.youtube.com/watch?v=sXA5OILKitY,This Is The Life,c788451b07850c196b7f76afe33c02ab1fc80a8f402e97b1865097e74da83a65
123,Cliff Richard,Congratulations,1968,https://www.youtube.com/watch?v=770f-pwPe4o,Congratulations,c0427a75afd3077b47fdb332bc73fb4c535d6173857dd4c90e19462228a6413f
124,Aloe Blacc,I Need A Dollar,2010,https://www.youtube.com/watch?v=cV9mMLDKIbI,I Need A Dollar,45f1942e270dbe78e497ebb8f57831df6c5f5c5a51ed6391e7e5fd80dc9aaa1c
125,Bobby Darlin,Dream Lover,1959,https://www.youtube.com/watch?v=wVHAQX5sSaU,Bobby Darin - Dream Lover,5611ccfb5b4779b55bc32a23011eed949234531ac56e03ba21717147e2fe9963
126,Limahl,Never Ending Story,1984,https://www.youtube.com/watch?v=2WN0T-Ee3q4,Limahl - Never Ending Story (Official Music Video),a9b3c13f394b01638d8b397878b18f287bfc905944f4fbb6939864179acd971c
127,The Verve,Bitter Sweet Symphony,1997,https://www.youtube.com/watch?v=1lyu1KKwC74,The Verve - Bitter Sweet Symphony,bc487057389be8a9756812a9fe0f147f9477c47bf1a9f651963558bb49356f33
128,Steppenwolf,Born To Be Wild,1968,https://www.youtube.com/watch?v=igvP806798U,Born To Be Wild,1eacb6a1259de601de99851ad0e9e1881c499f00dba9a122943f2df049fcd6d7
129,Natalie Imbruglia,Torn,1997,https://www.youtube.com/watch?v=UOJkzcJigGI,Natalie Imbruglia - Torn (Official Audio),52cfe8814fd956aa5e11a19c22b2e70246d8c04e2ec369dff7042b5d5ee83daf
130,Crowded House,Don't Dream It's Over,1986,https://www.youtube.com/watch?v=xwsaVHiiFQ8,Crowded House - Don't Dream It's Over (Audio Remastered) (HQ),d0eaf0b2032c5243a3d6af2fca44d98c62296fd0a5676084e70d849149b82817
131,Queen & David Bowie,Under Pressure,1981,https://www.youtube.com/watch?v=nbwn21TU4ec,Under Pressure (2017 Remaster),c77e0f7b264af5fbf74d4e861306cfe047fcf918f106fed975fb86f1c3235d4e
132,Robbie Williams,Feel,2002,https://www.youtube.com/watch?v=eK_tpyqtnsg,Feel,794b88f42bf45128f7a5881cde556a1594d12579b611827f2bb76222825b6802
133,Stereophonics,Have a Nice Day,2001,https://www.youtube.com/watch?v=tgkeg5sjPP4,Have A Nice Day,618a5eb21d3214a12cdf124fb01dee0efd48133e7451bf170a93c58debaad5ef
134,U2,With or Without You,1987,https://www.youtube.com/watch?v=ujNeHIo7oTE,U2 - With Or Without You (Official Music Video),0b4b38f35fd86ad9faab7ec0dbd14265ce998044bbe56e4228e7c89073657f12
135,Vanilla Ice,Ice Ice Baby,1990,https://www.youtube.com/watch?v=rog8ou-ZepE,Vanilla Ice - Ice Ice Baby (Official Music Video),16415a1a9c3ba4beccefdba33e9bd6b8c78a728e47c0e7360d586c0dd9431e68
