Card#,Title,Artist,Year,URL,ISRC,Youtube-Title,Hashed Info
24,Narcos (Tuyo),Rodrigo Amarante,2015,https://www.youtube.com/watch?v=npL0_ZAXg9E,FR3X61800160,Rodrigo Amarante - Tuyo - Narcos intro song (live @Le Guess Who? 2018),54ea795bbfb398de8340958f72f75bb2a69640cbd760439a45b2d91e83bcf24f
25,Krieg der Sterne (Star Wars),John Williams,1977,https://www.youtube.com/watch?v=54hoKbTWon4,USWD11785403,"John Williams & Wiener Philharmoniker – ""Main Title"" from ""Star Wars: A New Hope""",93c817eb0e632dd136360689a07829b1710990124b43b55a25fc92b5aaf565e4
26,Casablanca (As Time Goes By),Dooley Wilson,1942,https://www.youtube.com/watch?v=d22CiKMPpaY,BGA672334120,Casablanca - As Time Goes By - Original Song by Sam (Dooley Wilson),4e5ecc755737fa2d192e83bd4be2cb28924cdc443a2c5c4e4fdd9d31c16c6aea
27,Black Panther (All The Stars),"Kendrick Lamar, SZA",2018,https://www.youtube.com/watch?v=JQbjS0_ZfJ0,USUM71713947,"Kendrick Lamar, SZA - All The Stars",48e440d4c8fb081c4b419769b66fa2ca8ee533406ce6bddc9c3b254676cc34f9
28,Stranger Things,Kyle Dixon & Michael Stein,2016,https://www.youtube.com/watch?v=pCfpTK0IB-w,USLS51683401,Stranger Things (Extended),f68ada00adbf75973c2ce4b91c1dd242a4b5ce81c13b27e28d684aeb4ed952b3
29,Saturday Night Fever (Night Fever),Bee Gees,1977,https://www.youtube.com/watch?v=SkypZuY6ZvA,NLF057790035,Bee Gees - Night Fever,da11dc1ecf7ee4974c019c3a2f7e82a5d383c3ed60e8d6c2738743c707600aa4
30,Pretty Woman (It Must Have Been Love),Roxette,1990,https://www.youtube.com/watch?v=k2C5TjS2sh4,SEAMA8777131,Roxette - It Must Have Been Love (Official Music Video),51afce2b1c06a2b7c0a25884a729db9830f02b126b46fd6d508add2710e443c8
31,Selma (Glory),"Common, John Legend",2014,https://www.youtube.com/watch?v=HUZOKvYcx_o,USUM71417189,"Common, John Legend - Glory",2bc2572b059a45c88bbe236b08c0967cfd250c0e702aa9791aa3d18789810c53
32,Das Piano (The Heart Asks Pleasure First),Michael Nyman,1993,https://www.youtube.com/watch?v=NsQBKr_x-P4,GBDVE9300007,Michael Nyman - The heart asks pleasure first,9666ed1dd2a86105a99bf079576d4d729a3f27a0175e59ad711dfede83745fa9
33,La La Land (City Of Stars),"Ryan Gosling, Emma Stone",2016,https://www.youtube.com/watch?v=GTWqwSNQCcg,USUG11600656,"'City of Stars' (Duet ft. Ryan Gosling, Emma Stone) - La La Land Original Motion Picture Soundtrack",1f81859b5d3dbf188892f6406aa59ed65a86a0182559a8806512a442fd556417
34,2001 Odyssee im Weltraum (Also Spracht Zarathustra),Richard Strauss,1968,https://www.youtube.com/watch?v=dfe8tCcHnKY,AUUS00605794,"Also Sprach Zarathustra, Op. 30 - Strauss",298d4635ea3b23c42a9f16a77bddc59363e68b79248e9638d26a72befeb03523
35,The Walking Dead,Bear McCreary,2010,https://www.youtube.com/watch?v=v5ISBJc1wFk,USLS51702801,The Walking Dead Original Soundtrack  - Theme Song,7bcdcfaa56179ecf58284134d0dffd41d0a7a11cb1b54b82e6695eb5d8524ca3
36,Platoon,Georges Delerue,1986,https://www.youtube.com/watch?v=SJvTWV5pPeQ,US3M50122301,Georges Delerue - Platoon Theme,ab9e1f061b455862f04135c80ed6599b9eb88327b06b36f54e8634e259702992
37,Dreamgirls (Listen),Beyoncé,2006,https://www.youtube.com/watch?v=RmGe-LY5HQs,USSM10603618,Beyoncé - Listen [Official First Video],fadaa2e01cdd85105604fcd34a922fa7383d69d59a9d8aeadb7a1c71f388cde0
38,Arthur (Best That You Can Do),Christopher Cross,1981,https://www.youtube.com/watch?v=DVbx0KVwfao,USWB10800109,Christopher Cross - Arthur's Theme (Best That You Can Do),5df365afb8ed4f2b49a6f7834bc8f44081cecebd9809a82c7403340e34fb3d05
