Card#,Title,Artist,URL,Youtube-Title,Hashed Info
29,Orinoco Flow,Enya,https://www.youtube.com/watch?v=LTrk4X9ACtw,Enya - Orinoco Flow (Official 4K Music Video),49fae4bfea7dded4e75dfa09280423e3da4e6a18f11aeabc4da10d68ec8ed594
30,Über den Wolken,Reinhard Mey,https://www.youtube.com/watch?v=fZMFF8QH3ew,Reinhard Mey - Über den Wolken,4e6c41339c4758caad93b037269464d59da0e74a12ec763103acc2ec39bf678f
31,Rehab,Amy Winehouse,https://www.youtube.com/watch?v=KUmZp8pR1uc,Amy Winehouse - Rehab,e9581d4baf74336dd2b04d0113821ea755473b5eeb9ede61a0478524eb489ba7
32,Liebeskummer lohnt sich nicht,Siw Malmkvist,https://www.youtube.com/watch?v=mUUJxMiznfc,Siw Malmkvist - Liebeskummer Lohnt Sich Nicht (1964),d955c49f041096fa99d83f39be5b0f240eb0acf3af2d0e2aa9d4aee08eed6248
33,You Make Me Feel (Mighty Real),Sylvester,https://www.youtube.com/watch?v=gD6cPE2BHic,Sylvester - You Make Me Feel (Mighty Real),342aeb52712976eff0c0c8216e4bb5ebc85c698f9c61dcfb245ca2dbe0f37a1d
34,Sweet Home Alabama,Lynyrd Skynyrd,https://www.youtube.com/watch?v=-35W_FWCT9Q,Lynyrd Skynyrd - Sweet Home Alabama (Audio),4f7cc4ce7dd83117a0c79cd92e006b9c40e283640962e3c1d10fb3c0c2d7347c
35,He Ain't Heavy He's My Brother,The Hollies,https://www.youtube.com/watch?v=eUWZqbumaZo,"The Hollies: He Ain’t Heavy, He’s My Brother (2019 Remaster Video)",19873dc87f1eb88418087981d29238542530f54127482fc0b3675e8d059f3fe5
36,Eine neue Liebe ist wie ein neues Leben,Jürgen Marcus,https://www.youtube.com/watch?v=TGMSNWOzhtM,Eine neue Liebe ist wie ein neues Leben (2009),003ac5551c39a64a6dd76f49843a1fdf0f1def58ddd549f42a62e50895d0b50f
37,Manic Monday,The Bangles,https://www.youtube.com/watch?v=SsmVgoXDq2w,The Bangles - Manic Monday (Official Video),b66a4a1d6b78d7b0cf71295259c454daa5985fc8c9a8a3e7caef64160a074f02
38,Paradise By the Dashboard Light,Meat Loaf,https://www.youtube.com/watch?v=C11MzbEcHlw,Meat Loaf - Paradise By The Dashboard Light,10aa8dcac3ab5738f16007e213a5330e1c5bd332508d598c9918212fa3113452
