Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,I Will Survive,Gloria Gaynor,1978,https://www.youtube.com/watch?v=qifMS-6Wamw,59079428f351d6aef27a0dac0ecd65386ba28ee5e79d0afbccc5c40ed41be170,I Will Survive - Gloria Gaynor - HQ/HD,USPR37800083
2,The Power,SNAP!,1990,https://www.youtube.com/watch?v=nm6DO_7px1I,ce2195effba6cee7499fb058c1c833ddf228c9338153f689c1990dc74106f1df,SNAP! - The Power (Official Music Video),DET189000100
3,The Boys Of Summer,Don Henley,1984,https://www.youtube.com/watch?v=6RUIeX6UCT8,3f567baaba14024aaec79f139c68d22704391b567eb7a5fe028ca9e523391709,Don Henley - The Boys Of Summer,USGF18502601
4,Itchycoo Park,Small Faces,1967,https://www.youtube.com/watch?v=92dOgg0mwWY,8a4cd2e0ad35294782b0d18710bfe1ed033ca578e879f1e8e5d97afe3931e6c2,Small Faces - Itchycoo Park (Official Lyrics Video),GBA7H1244642
5,Power Over Me,Dermot Kennedy,2019,https://www.youtube.com/watch?v=EgJeEgJ5KdY,85a65ef3c440f7b9956cb1c654fa96312c238babba28d7adfaa9f91c7fce030a,Dermot Kennedy - Power Over Me in the Live Lounge,USUG11802208
6,No Money,Galantis,2016,https://www.youtube.com/watch?v=xUVz4nRmxn4,e3cf4d9cbba04f49437185bf5c8a4c87ac279765d0e240c88128c4c8bc43bc6f,Galantis - No Money (Official Video),USAT21600941
7,We Be Burnin',Sean Paul,2005,https://www.youtube.com/watch?v=uUGFhVWPOFs,38a08b6deff5097c4cff5c3cfa128fcd004c66024d7fd284fde168bff5fbfa73,Sean Paul - We Be Burnin' (Recognize It) [Official Video],USAT20502058
8,Shine,Aswad,1994,https://www.youtube.com/watch?v=IIw3BtSPHt,3b1fd215c7c410e761d5c4d5427ed22b58ed8f14cb5f9833e29caedb35ced1f1,Shine,GBBRL0690163
9,Flying High - Radio Mix,Captain Hollywood Project,1994,https://www.youtube.com/watch?v=eVQHDF0L2tQ,821e1709b667e534abd31b5853c8aceb997ab86a5c8edd34aacb94d627897d87,Captain Hollywood Project - Flying High (Official Video),DEMI60900107
10,Boogie Wonderland,"Earth, Wind & Fire",1979,https://www.youtube.com/watch?v=god7hAPv8f0,cd18d6ef0e00217aa42095e8f153a3685b2e415ed575384f01c57b4a86033a9f,Earth_ Wind & Fire - Boogie Wonderland (Official Video),USSM19922860
11,Superstition - Single Version,Stevie Wonder,1972,https://www.youtube.com/watch?v=7_tmeHCO1IM,d650cb2bcafd60dec9f14dcb7019ecb7385092aab9017d3f991a92dc2322fd11,Stevie Wonder - Superstition [EM DASH] (Official Video),USMO10000310
12,Would I Lie To You?,Charles & Eddie,1992,https://www.youtube.com/watch?v=G_UXvcr22rM,20d0f8fa69b5e9d5ade0f23ed08a70f77b4a8c4f596606b7af413aed2eb8bdd1,Charles & Eddie - Would I Lie To You,USCA29200183
13,I Should Be so Lucky,Kylie Minogue,1987,https://www.youtube.com/watch?v=2Frd6BIE1_k,61a444abd9e1201a6350e260080966491292dde016dcbbb5aada44f5bf81d095,Kylie Minogue - I Should Be So Lucky,GBBTK0900051
14,"Djobi, Djoba",Gipsy Kings,1987,https://www.youtube.com/watch?v=znxb6KtOo_c,77826dbe285ca2c86d177dce4ad3b480ea993aa355bdd3ce09bf82589a407e27,Gipsy Kings - Djobi_ Djoba (Official HD Video),GBARL0700404
15,Wonderwall,Oasis,1995,https://www.youtube.com/watch?v=bx1Bh8ZvH84,b6a62577e27dc43b094b65ec176b777a1290181d402c6bb87aaa8d42f80ef0e6,Oasis - Wonderwall (Official Video),GBAAW9500189
16,Schüttel deinen Speck,Peter Fox,2008,https://www.youtube.com/watch?v=-_t7YnKZOUc,1d1b43cd3d631d7c4937d8cb707c198a0de7f3957f8885267c1a70cbc9bd89da,Schüttel deinen Speck,DEA620800631
17,Conga!,Miami Sound Machine,1985,https://www.youtube.com/watch?v=54ItEmCnP80,bb42908fbfde17d59519a5330d440c0c6d94530f56e5713a323a6cda80be6fe4,Gloria Estefan_ Miami Sound Machine - Conga,USSM10026825
18,Smells Like Teen Spirit,Nirvana,1991,https://www.youtube.com/watch?v=hTWKbfoikeg,30bc9e96e22d1be52917cc85e9fcfcedd327d9324b30235f2aefa3f1af3fe567,Nirvana - Smells Like Teen Spirit (Official Music Video),USGF19942501
19,Dynamite,BTS,2020,https://www.youtube.com/watch?v=gdZLi9oWNZg,e73e62a6baf3b3e29c3a36c2e60fd04e6b2a14910e59ee8153844fa8468ac3ac,BTS ([HANGUL SYLLABLE BANG][HANGUL SYLLABLE TAN][HANGUL SYLLABLE SO][HANGUL SYLL,QM7282022872
20,Keep On Running,The Spencer Davis Group,1965,https://www.youtube.com/watch?v=pmC6skqlr6E,9cebc01e54cb354d509f1e90b8a26fa4c18d44f53201493eb61446d8d873ab88,Keep On Running (Remastered 2010),GBUM71002671
21,Savage Love,Jawsh 685,2020,https://www.youtube.com/watch?v=Jvcv8trEuao,dd853e5c874e8cc6e9250eae9092e318a0a94465712b7c6a77dff7968305aa8f,Jawsh 685_ Jason Derulo - Savage Love (Laxed - Siren Beat) (Official Video),USSM12003798
22,Santa's Coming for Us,Sia,2017,https://www.youtube.com/watch?v=V3EYjVPRClU,90a22082b78b732d49fb8b031390daa2f99ddb69eeaf26ac2448e32752bea943,Sia - Santa's Coming For Us,USAT21704210
23,Respect,Aretha Franklin,1967,https://www.youtube.com/watch?v=A134hShx_gw,399934796daa9b1797d7670c43194776801636f7494fc07a50efe5f03ba67517,Aretha Franklin - Respect (Official Lyric Video),USAT20801240
24,Hold My Hand,Jess Glynne,2015,https://www.youtube.com/watch?v=SCG2aqfkBDM,fd8366ab0276ef1d23f001c62bdc7117ce1e5cdc0af8ce527a3d8d9fb5d9413a,Jess Glynne - Hold My Hand (Official Music Video),GBAHS1500049
25,Let Me Entertain You,Robbie Williams,1997,https://www.youtube.com/watch?v=bYbUTJqLFUk,3393d4fff43fb3a7a70c8d5b9afca42c10fb58c32c111a2b167e45f5711c166b,Robbie Williams - Let Me Entertain You - 1997,GBAYE9701083
26,Dance The Night Away,The Mavericks,1998,https://www.youtube.com/watch?v=-UajuBAUkBs,50278ad9d60018d152a4efa4f6e2bf1bddb0e873dfe7afe6065e93f5dcbc5293,The Mavericks - Dance The Night Away (Official Video),USMC19701159
27,Con Calma,Daddy Yankee,2019,https://www.youtube.com/watch?v=0UjjmR5-_K4,f1e8660f4cb3c183f710aeaad031b814688f989bc31af03ad5ec1c5d8135a615,Daddy Yankee+Katy Perry ft Snow - Con Calma (Unoficial Video Deejay Fox),US2BU1900125
28,Freedom,Wham!,1984,https://www.youtube.com/watch?v=2ag5Qbc1O-c,a418ca70d09d8b1a3fe1d04ed167892146751541f392eedaf0923d6c14f04536,Wham! - Freedom (Live on Wogan 1984),GBBBN0009302
29,"Relax, Take It Easy",MIKA,2006,https://www.youtube.com/watch?v=RVmG_d3HKBA,1407c9898894321277441d2dd8c5b6743b0a344298559842dd0a781e1cde2bf6,MIKA - Relax_ Take It Easy,USC7R0600114
30,YMCA,Village People,1978,https://www.youtube.com/watch?v=gj2LOqSugfw,c10c0ca428ddc5f57b8f5e4185906fbe76fc51eff78d6d38b6f7c18d3ff9a81c,Village People - YMCA (Original Version 1978),FR6V80878846
31,We No Speak Americano,Yolanda Be Cool,2010,https://www.youtube.com/watch?v=7E9Ed9DUQoQ,eae26a1034da60e98101594210ac7c80b2112d9057a291a24b3144655673f043,Yolanda Be Cool & DCUP - We No Speak Americano (Official Video),AUCN30901316
32,Oye Como Va,Santana,1970,https://www.youtube.com/watch?v=J7ATTjg7tpE,760e586b662939f0b00c3f4a19586ceb927236a653059beb61c7884b2c4fe60e,Santana - Oye Como Va (Audio),USSM17000293
33,I'm So Excited,The Pointer Sisters,1982,https://www.youtube.com/watch?v=8iwBM_YB1sE,df25d48c9738ca35fd9d37e05626206329528b9105548fcd63dc97014267ca98,The Pointer Sisters - I'm So Excited,USRC18203285
34,Hold the Line,TOTO,1978,https://www.youtube.com/watch?v=htgr3pvBr-I,c9254b73b830095fb0d81a69782ebf59c44efb4d7c090cc10fba6a9c24958658,Toto - Hold The Line (Official Video),USSM17800444
35,That's the Way (I Like It),KC & The Sunshine Band,1975,https://www.youtube.com/watch?v=O0_H3F84Yjk,949add9522760e3e3816b82d9333b409b07d9c75ee535a0f0a0f6c8088444245,K C & THE SUNSHINE BAND   That the way I like it 1975  - BayechCom,GBAYE0400454
36,Paris Latino,Bandolero,1983,https://www.youtube.com/watch?v=ruauz315oms,30064733f5d20e003e2013a10f48396a4c02eef2ab09f8d5d0d3ef565f192150,Paris Latino (Original Version 1983),FR1OI8300160
37,Always There,Incognito,1991,https://www.youtube.com/watch?v=X6JM8iagb8o,bc40feb3cacedc70dfd9a0a5fd52ae4251bfe19666112b496ce19148a8248372,Incognito - Always There ft. Jocelyn Brown,GBF080201412
38,I Like Chopin,Gazebo,1983,https://www.youtube.com/watch?v=4zwv9SiqlCI,f1c592eb8114d835f2ac6df2a8e7c80e7db1922cac920a7780b8f5a58e715704,Gazebo - I Like Chopin (Classic)  #music #90smusic,ITJ569400001
39,Gimme Hope Jo'Anna,Eddy Grant,1988,https://www.youtube.com/watch?v=R-ZplG81oZg,b7737756a8b5587513c1f7f75e2dbecbc9a91f1a0408044d3b228eb2d6ee6a40,Eddy Grant - Gimme Hope Jo Anna  1988,GBQRF0846342
40,Arranca (feat. Omega),Becky G,2023,https://www.youtube.com/watch?v=sCEV3YzPCnw,7e02e840a0edc7abcd6db54f75595800aa0bd899ca372e3528db888de6011ec3,Becky G - Arranca (Official Video) ft. Omega,USRC12300209
41,Zehn kleine Jägermeister,Die Toten Hosen,1996,https://www.youtube.com/watch?v=hNK-uT2vhqo,51b36ac9ad34f3282912221298a38e72cf1fd6bad3c1ecadf3f1887ac870c3aa,Zehn kleine J[LATIN SMALL LETTER A WITH DIAERESIS]germeister - Die Toten Hosen,DEF241112444
42,Two Princes,Spin Doctors,1991,https://www.youtube.com/watch?v=wsdy_rct6uo,d4c313c5bf52892939d8ab75ed3846e2390304f91c37c659914bd2ce669e5e18,Spin Doctors - Two Princes,USSM19000350
43,Maniac,Michael Sembello,1983,https://www.youtube.com/watch?v=324it5DKoXU,484daa62e3b1773460e4b44a53a5cf59838f8bd0b5ba536ee5d4f59ad5b4a559,Michael Sembello - Maniac (1983) (Official Video),USPR38302462
44,Me Gustas Tu,Manu Chao,2001,https://www.youtube.com/watch?v=b22wgo919FM,8d423999b7e6a0c1d1e02b8243edf1c728f6b36f6b2f48640f22993dce49bfca,Manu Chao - Me Gustas Tu (Official Music Video),FR84R0000004
45,Let It Be,The Beatles,1970,https://www.youtube.com/watch?v=CGj85pVzRJs,90911db44cd6eeead01c447033ef60b6027513e207cda860d1f824f81a0d6e37,The Beatles - Let It Be,GBAYE0601713
46,The Pretender,Foo Fighters,2007,https://www.youtube.com/watch?v=SBjQ9tuuTJQ,4922376db7908a5452d9c2c7e539e731bae6232501ad8d3fb58a844028f03c70,Foo Fighters - The Pretender,USRW30700007
47,Saturday Night,Bay City Rollers,1976,https://www.youtube.com/watch?v=KiYu1YEB1Qk,65b87a8308333d82d3afcc7acbac986573c30a694f0e0223bbdf06a16b3ce433,Saturday Night - Bay City Rollers (1974) (Spliced Extended Mix),USAR17500148
48,Played-A-Live (The Bongo Song),Safri Duo,2000,https://www.youtube.com/watch?v=IksRDCMYnn8,be00085f631450b2a437dbc3d00a6ee7446686b73912114ea70a753da8bfe5db,Safri Duo - Played-A-Live (Enhanced Video),DKBKA0100501
49,Gypsy Woman (She's Homeless),Crystal Waters,1991,https://www.youtube.com/watch?v=_KztNIg4cvE,9fb20597c85f39c5597611195d34f09f439886c91411a9a70c25cb567a4c4c5c,Crystal Waters - Gypsy Woman (She's Homeless) (Official Music Video),USPR39102713
50,Hot N Cold,Katy Perry,2008,https://www.youtube.com/watch?v=kTHNpusq654,d97a9b82c9a21f08859f593dc784b8c9480c4646b2c360e67ec18e0c38555da5,Katy Perry - Hot N Cold (Official Music Video),USCA20802544
51,"See You Later, Alligator",Bill Haley & His Comets,1956,https://www.youtube.com/watch?v=nf3EJt3kn4Q,30c3af96c549eafca93a41832ac5cd63c2a4ddcadbec4f3c929e9aca21151e11,Bill Haley & His Comets - See You Later_ Alligator - 1956,USMC15588995
52,Wildberry Lillet,Nina Chuba,2022,https://www.youtube.com/watch?v=95xDIF5zYCo,60eb94f89cc12cb579a96e709935be05eaead664a0d8f5a55d3a551719d98f35,Nina Chuba - Wildberry Lillet (Live) | Vevo DSCVR,DEE862201008
53,Get Lucky,Daft Punk feat. Pharrell Williams and Nile Rodgers,2013,https://www.youtube.com/watch?v=CCHdMIEGaaM,7dc8fb80573f5c2fdefefafd7d63ea004f9ce14c2871f488a2f6cf5435ec6ec8,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,USQX91300809
54,Bon bon vie - Gimme the Good Life,T.S. Monk,1980,https://www.youtube.com/watch?v=LIb88vvqXUE,3836e70cfa782d5225892671f3ad024d04adc5cb450c47744769a34f59c3d746,T.S. Monk - Bon Bon Vie (Gimme the Good Life) (1980),CAU111122152
55,Listen to the Music,The Doobie Brothers,1972,https://www.youtube.com/watch?v=nbVE-1rHyVY,ed3b8192f841be1a97801c600a67f0041c6c7cf2078b124245f22b36481852b7,The Doobie Brothers - Listen To The Music (Official Audio),USWB10000626
56,SexyBack (feat. Timbaland),Justin Timberlake,2006,https://www.youtube.com/watch?v=3gOHvDP_vCs,f89c815790838b4739b0bf7573c8b0ef2d920f463e3de4df6809c018e25b1bd1,Justin Timberlake - SexyBack (Official Video) ft. Timbaland,USJI10600269
