Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year,ISRC
27,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,https://www.youtube.com/watch?v=zNl00mOSnJI,3e66b2269ca5fa42f3e5c8dc8bc9e12591c887631add90356ad52e87b2113fc8,"DJ Snake, J Balvin, Tyga - Loco Contigo",,USUG11901580
28,Girl You Know It's True,Milli Vanilli,https://www.youtube.com/watch?v=RdSmokR0Enk,7f9231d2066463800dee1d5d5914676488033a4371f94ebb2ed4f511f09d1795,Milli Vanilli - Girl You Know It's True,,DEC738800004
29,Alles neu,Peter Fox,https://www.youtube.com/watch?v=qdtLCfEcPL4,9b365d6c3332a78e6c46f0eb9159c2d61bab4d7762647780941908959bcdea0c,Peter Fox - Alles neu (offizielles Video),,DEA620800706
30,Reggae Night,Jimmy Cliff,https://www.youtube.com/watch?v=oPHWzTDJhSE,d539a14330a48564f15e4f5d7117a1995f451b0e1291697171b73fe4815f17e9,Reggae Night,,USSM19917309
31,World In Our Hands,Taio Cruz,https://www.youtube.com/watch?v=9-YOU4DasV0,b675ee7de23c502c969843107edc015153eb24e42bb76634cdaf7fe428333c32,World In Our Hands,,GBUM71109576
32,Mama Loo,Les Humphries Singers,https://www.youtube.com/watch?v=xabrEUv8IFM,269844ef5280687785f4317764f4fa3eef861e0f4730e01836e753bfbc4b741f,Mama Loo (Remastered),,DEA619351680
33,New York-Rio-Tokyo,Trio Rio,https://www.youtube.com/watch?v=6mLb4l8FLlE,f715a6d202ae6704b9d2a9d89f86ad73d298386ecd630f4a8683b079bced1721,New York-Rio-Tokyo,,DEHA68600002
34,Sunshine Reggae,Laid Back,https://www.youtube.com/watch?v=R82XGJV_nkU,b27092e2110b3cf1d6443f8bdcbc31fc31ebffe5bc25bd84681b45a36965abaa,Laid Back - Sunshine Reggae,,DKABA0002801
35,Sun of Jamaica,Goombay Dance Band,https://www.youtube.com/watch?v=P5OrPKTFBIY,b388cde5f311fe6e5855465802c360e38a6426b5e41988c4beeec9a3f636f980,Goombay Dance Band - Sun Of Jamaica (Official Video),,DEK897900010
36,Sweet Sixteen,Billy Idol,https://www.youtube.com/watch?v=ClxXDfvtoj0,b1ce8e9f0b6e0d59d0f2e4d8a2bcd721816d4e7ed4cda7ff11089a9e6781b0fb,Billy Idol - Sweet Sixteen (Official Music Video),,USCH30100011
37,All I Wanna Do,Sheryl Crow,https://www.youtube.com/watch?v=ClbmWkbocoY,3840bee2d2ddec009b39a8c78ea71d57b80eb57d1880e03af545fe243b4e02a1,Sheryl Crow - All I Wanna Do,,USAM19300013
38,"Ella, elle l'a",France Gall,https://www.youtube.com/watch?v=lgHGU8gqz9U,ef178b9ee79ab6ce00cea94950f1cf7fc58960da466f44992edb341c6813b22c,"France Gall - Ella, elle l'a (Clip officiel)",,FRT198700050
39,Sweat (A La La La La Long),Inner Circle,https://www.youtube.com/watch?v=AdIer7rKyq0,c090f52e4a3d1e4d5a73e1ee3e45907b4a14e731b0a0d8b220f063a6bbbf02a0,Sweat (A La La La La Long),,USA2P1004785
40,River,Tom Gregory,https://www.youtube.com/watch?v=5gCEh4ICp3A,bbfa9dc2a6e9c4136e1ed00b28e8bae931667aa52425505aa3a70adfed3070ac,Tom Gregory - River (Official Video HD),,DEN062100149
41,"Boom, Boom, Boom, Boom!!",Vengaboys,https://www.youtube.com/watch?v=llyiQ4I-mcQ,c92a17ff91d47f1557296c44e5676697468655f584bcecbf41f1e9f77353c3a4,"Vengaboys - Boom, Boom, Boom, Boom!!",,NLC529811150
42,So schmeckt der Sommer,Edward Reekers,https://www.youtube.com/watch?v=kCcXlhzX8N4,7c4839413f7204e576a82bc28e272b37dcab7c28c38c24978a7c4b19ab52c97d,So schmeckt der Sommer,,DEF069516410
43,Boys - Summertime Love,Sabrina,https://www.youtube.com/watch?v=_OIPDU8kCNo,93ad7e40d93569957495296ed804c37adbb14e8db46e8e49c62ff717f0ef232c,Boys (Summertime Love),,GBJUT1009950
44,Summer Jam 2003 - DJ F.R.A.N.K.'s Summermix Short,The Underdog Project,https://www.youtube.com/watch?v=9AHfNvKRtvM,8e8fdf0c0fa45f1651c759f7368907e88ae8945b77ea61224427917778bb8adc,Summer Jam 2003 (DJ F.R.A.N.K. Summermix Short),,DEN060401576
45,Flying Through the Air,Oliver Onions,https://www.youtube.com/watch?v=apOn3XQSYaA,ad1508dcd9119a69b31db36d9f2603f9c499fbed831d69c2ec1c1fef387408cd,Flying Through the Air,,DEH840501531
46,Wavin' Flag,K'NAAN,https://www.youtube.com/watch?v=VrurenhpPxE,2ef8da8d9b9acb2b7e404dae3d1381d092827797c64b1ec5f31e817b63e040dc,K'NAAN - Wavin’ Flag,,USUM70951245
47,Could You Be Loved,Bob Marley & The Wailers,https://www.youtube.com/watch?v=1Ogjp1hzmZU,757924aeece653c73f87726a3a1164c7daead9d4df6a110f6fd4704cf37920b3,Could You Be Loved,,USIR28000016
48,Take Me Tonight,Alexander Klaws,https://www.youtube.com/watch?v=DmgDOFtzRFA,00bc35eb0f7121929193a415822e94a5826950e3cbe0ea8e2ef2ed481473c6b9,Alexander Klaws - Take Me Tonight (Official Video),,DEC730300065
49,United (feat. Marky Mark),Prince Ital Joe,https://www.youtube.com/watch?v=AA-y4oqjOUs,7348fb0022a265d04ebb5de3e3d165a7f0984ad2161c31a8be9c0303e730837d,United (feat. Marky Mark) (Radio Edit),,DEA619450270
50,Alors on danse,Stromae,https://www.youtube.com/watch?v=VHoT4N43jK8,c0c32da7a90ed314e6ec6f55d460c6e0f4f6785ef963842a6d28dc69a40e83e9,Stromae - Alors on danse (Official Video),,FRUM70902424
51,Volare,Domenico Modugno,https://www.youtube.com/watch?v=6jWsIpAbo-8,30c33fd130dfcdb27a4cd92de69403aa10f3b6aaddb020729a583704031877fc,Volare (Nel Blu Dipinto Di Blu) (Remastered),,DETL61621179
52,Faded Love,Leony,https://www.youtube.com/watch?v=CE7ymQByeH0,33ca541b5275889676355e278d4b0a15becb6d2df09d681a2d7ca8b208a438b2,Leony - Faded Love (Official Video 4K),,DEN062004998
53,La La La,Naughty Boy,https://www.youtube.com/watch?v=3O1_3zBUKM8,1b73ea0ac362fc9f0e950a5326ace6fab284a39dbf0f960483f90c3c690d5fbc,Naughty Boy - La la la ft. Sam Smith (Official Video),,GBAAA1300148
54,Fresh,Kool & The Gang,https://www.youtube.com/watch?v=sTJ1XwGDcA4,71a7d6e6732c9d3874d33cec5d08c6437980ffa8cdee85bef98711c44b0ab345,Kool & The Gang - Fresh,,USUMG0000175
55,Wann wird's mal wieder richtig Sommer,Rudi Carrell,https://www.youtube.com/watch?v=cH3tuAAHpNI,e55430b7a4b5d00745e84c498c180d1636d45e39dec9ee688e1ab9ca69f37002,Wann wird's mal wieder richtig Sommer,,DEF457500504
56,Helden 2008,Revolverheld,https://www.youtube.com/watch?v=XER2pm7UUv0,2cc6d9568b0f376f8d64335a823e96b4b49c8ba06b62ee582618d2d394436985,Revolverheld - Helden 2008 (Videoclip),,DEA810800202
57,Ratzfatz nach Mallorca,Ibo,https://www.youtube.com/watch?v=1Rxbg1hGlSc,f43776afa40ac22468bcf532c68376c272d3081e4a743bcb59fed94ea9f5cf35,Ratzfatz nach Mallorca,,DEA760003101
58,Sofia,Alvaro Soler,https://www.youtube.com/watch?v=qaZ0oAh4evU,2726bd05bd95bc759ec052e9b918472cb9ac980633144bc4d51b62444e33a73a,Alvaro Soler - Sofia,,DEUM71601055
59,Cruisen,Massive Töne,https://www.youtube.com/watch?v=LEi46LleIFo,eae5b7dec3f449133cb666820c0a1957f98b1badc07495e9284de310191843cd,Cruisen,2002,DEA610200332
60,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,https://www.youtube.com/watch?v=2Y6Nne8RvaA,013a1c09b2f000f8cedcc49810b74b9221d0e777a8ecee04e41f94d5d10d4b3a,Kungs vs Cookin’ on 3 Burners - This Girl (Official Music Video),,FR9W11601798
61,Baker Street,Gerry Rafferty,https://www.youtube.com/watch?v=Fo6aKnRnBxM,f21095d4fc933d4af72337edb7d621c68f7dd4cd824b2091735a6e008f2ecd22,Gerry Rafferty - Baker Street (Official Video),,GBAYE7800619
62,Nutbush City Limits,Ike & Tina Turner,https://www.youtube.com/watch?v=CKzMrzrYyXw,e73e8815682615d4b5ac7179b6b387e211dae77659d9cad119cbd6e816c45865,Nutbush City Limits (Remastered),,USEM37300029
63,I Want To Break Free,Queen,https://www.youtube.com/watch?v=f4Mc-NYPHaQ,a02bb4abb9acb355cde5f7bc385b88ba03a9378931a92dae320cdb0f42da964c,Queen - I Want To Break Free (Official Video),,GBUM71805978
64,Footloose,Kenny Loggins,https://www.youtube.com/watch?v=ltrMfT4Qz5Y,e9193d8b370efe8ee4b1a12f66ced0abfda39d0abf1ac024a25c41870c94d954,Kenny Loggins - Footloose (Official Video),,USSM18400107
65,CAN'T STOP THE FEELING!,Justin Timberlake,https://www.youtube.com/watch?v=ru0K8uYEZWw,3c4bbfff3e9543bd1bac232c7c3e15c45128ae00d489984a7f39848001fa0f10,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)",,USRC11600876
66,Wake Me Up,Avicii,https://www.youtube.com/watch?v=IcrbM1l_BoI,907a75c1078b47eed476420d40cfafc733d2ac62c088a73f60b8ab4cdbc6fae2,Avicii - Wake Me Up (Official Video),,SEUM71301326
67,Hollaback Girl,Gwen Stefani,https://www.youtube.com/watch?v=Kgjkth6BRRY,67edea41a3042a5f349a85e91b9fdddd797b744e44b0bfa7ad593adfe66af7d3,Gwen Stefani - Hollaback Girl (Official Music Video),,USIR10400847
68,Where Do You Go,No Mercy,https://www.youtube.com/watch?v=nzQDQcELNuU,c24c68ac837b256aeaaafb4c0a8bb23048f700c72e362d799ebfc04db77cc7a4,Where Do You Go,,DED169600128
69,Bella Isola - Radio,Bata Illic,https://www.youtube.com/watch?v=xxObvAXJs94,5281482c8eb8564f076cb574ffa969abf39a242bbb7959292abf237a242259a3,Isola Bella,,DEQ090300067
70,Lessons In Love,Level 42,https://www.youtube.com/watch?v=9x1RcVrGjGM,6530c88cf00d2e96e754377d4ec3e52abca879def59dcea447360f46020c790e,Level 42 - Lessons In Love,,GBAKW8601003
71,Whatever,CRO,https://www.youtube.com/watch?v=FAyGmrS-JlU,b40c49a3433982d9cddc823e36c19a380122fab92e7f3d477b3e56ed243f8310,Whatever (+1),,DEW921300229
72,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk,https://www.youtube.com/watch?v=M7VTByl6WqA,8a2f9b1ec61122311350e00129082ef3500175508df13e19ec084c9a4481cfd3,Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams] [Official],,USQX91300809
73,Venus,Bananarama,https://www.youtube.com/watch?v=d4-1ASpdT1Y,07b5586e120f2685f1b8a7f475f4cd5343f293a7d380b8e097846df0a3a4acdc,Bananarama - Venus (Official Video),,GBAAP9600095
74,Happy Together,The Turtles,https://www.youtube.com/watch?v=pSw8an1u3rc,6f7f91fccfed1042533f3756062a0fc34be71b0140170f6512ac662f36e974a6,Happy Together (2016 Remaster),,USA560587940
75,Pump Up The Jam,Technotronic,https://www.youtube.com/watch?v=9EcjWd-O4jI,e29aa4bfd6dbcdc4a2466fe33fd86372c55db4dcca4e5384b92bec8258e641d1,Technotronic - Pump Up The Jam (Official Music Video),,BED018901375
76,La Bamba,Ritchie Valens,https://www.youtube.com/watch?v=BycLmWI97Nc,e34e25b5b7e47c2eae8cd6cc199c3fa939f24b5f3963a728d473ac86ce6bc081,La Bamba,,USRH10402003
77,Heat Waves,Glass Animals,https://www.youtube.com/watch?v=mRD0-GxqHVo,d28bbc8ffeefb948485a551fc658b5b0aea4b28a1a8e4ee4d432e4c4a3cb1540,Glass Animals - Heat Waves (Official Video),,GBUM72000433
78,Lonely - Original,Nana Darkman,https://www.youtube.com/watch?v=CD6VMP2wzJM,5e2bdc3a890c19e74a16df282b0b7d988dad41b75955f75309165ffe5e085f9a,Lonely (Original),,DEPI82101614
79,Conga!,Gloria Estefan and Miami Sound Machine,https://www.youtube.com/watch?v=5SXX-pWzOY8,39e85f86876f37ed18718ac13fbaf020047402586aef186b13d2887bd65c4212,Conga,,USSM10026825
80,Holiday Rap - Version 1986,MC Miker & DJ Sven,https://www.youtube.com/watch?v=5JgR6JCLUfg,b8e033e4cf6a0ece6b3759b40d8c2b9b571b6bae735bfc3dd7d842ae4dc380b6,MC Miker G & DJ Sven - Holiday Rap 1986 (Remastered),,NLE320400069
81,Weekend,Earth & Fire,https://www.youtube.com/watch?v=0uNaFo3wAR8,6c3ace9e4d8a078e394e5a2f2c5a9f17e0abad7bd5d103c0a12cea0bbd3e540c,Earth & Fire - Weekend 1979 (Remastered),,NLC287900009
82,Love Is You,Thomas Godoj,https://www.youtube.com/watch?v=eCsh6FNFg3Y,4624f0adcfec15977da8c05736fd717e7d99b25bb70c2d6b00ebf564192e24dd,Thomas Godoj - Love Is You (Videoclip),,DEE860800369
