Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
58,Flaschenpost,Fantasy,https://www.youtube.com/watch?v=nTrbx19qMBc,,,2013
59,So bist du,Peter Maffay,https://www.youtube.com/watch?v=Hq9JebayPmo,,,1979
60,Lebenslänglich Du,Oliver Haidt,https://www.youtube.com/watch?v=Tk6Boeo-Moo,,,1996
61,Ich küss dir die Angst von deiner Haut,Wolfgang Ziegler,https://www.youtube.com/watch?v=5R7fKOteVZw,,,2003
62,Wer die Sehnsucht kennt,Claudia Jung,https://www.youtube.com/watch?v=vfavz-qunYE,,,1995
63,Du entschuldige i kenn di,Peter Cornelius,https://www.youtube.com/watch?v=fhaP9-YhLig,,,1980
64,Schlittenfahren in Tirol (Der Schnittensong),DJ Zipfelmann,https://www.youtube.com/watch?v=rMKsa8LcE_M,,,2004
65,Weiß' der Geier,Wolfgang Petry,,,,1998
66,Das Trampolin - Live,Mike Krüger,https://www.youtube.com/watch?v=XUVFSuotQ8Q,,,1994
67,Kreuzberger Nächte,Gebrüder Blattschuss,https://www.youtube.com/watch?v=I0GU899OdZ8,,,1978
68,Ibiza,Ibo,https://www.youtube.com/watch?v=3O2QRoQ0Y8E,,,1985
69,Auf der Straße nach Süden,Tony Marshall,https://www.youtube.com/watch?v=lbuzlplYGj8,,,1978
70,Ich liebe das Leben,Vicky Leandros,https://www.youtube.com/watch?v=7_FsW8RPCTc,,,1975
71,Macho Macho,Rainhard Fendrich,https://www.youtube.com/watch?v=3ROwnYnWNwg,,,1988
72,Heidi,Gitti Und Erica,https://www.youtube.com/watch?v=Pu7MjOd0o0Y,,,1977
73,Früh-Stück,Gebrüder Blattschuss,https://www.youtube.com/watch?v=A2daAfNsL5E,,,1979
74,Des geht vorbei,Nicki,https://www.youtube.com/watch?v=gCWH2TOxzGs,,,1992
75,Ich liebe dich,Clowns & Helden,https://www.youtube.com/watch?v=McZEhRabe7Y,,,1986
76,Fang das Licht,"Karel Gott, Darinka",https://www.youtube.com/watch?v=eV11MdBt5OU,,,1986
77,Wo finde ich den Mann?,Lill-Babs,https://www.youtube.com/watch?v=UdqDzPXqD9U,,,1961
78,"Gold, Platin und Diamant",Die Fidelen Mölltaler,https://www.youtube.com/watch?v=5Iwnyo3WTTE,,,1984
79,Santa Catarina,Andrea Jürgens,https://www.youtube.com/watch?v=pQ8lvMaSLXQ,,,1991
80,Der blonde Hans,Hannes Kröger,https://www.youtube.com/watch?v=SN8gLMjErds,,,1988
81,Das ganze Leben ist ein Quiz,Hape Kerkeling,https://www.youtube.com/watch?v=-GRHmEEaxv0,,,1991
82,Dicht im Flieger,Julian Sommer,https://www.youtube.com/watch?v=hzqcMvDON1g,,,2022
83,Lass die Sonne in dein Herz,Wind,https://www.youtube.com/watch?v=lLKsnjZoKj4,,,1987
84,Ein bisschen Spaß muss sein,Roberto Blanco,https://www.youtube.com/watch?v=4-DYhrD-N6M,,,1972
85,Da Da Da ich lieb dich nicht du liebst mich nicht Aha Aha Aha,Trio,https://www.youtube.com/watch?v=4_kZdimDGfM,,,1981
86,Scheiss drauf! (Mallorca ist nur einmal im Jahr),Peter Wackel,https://www.youtube.com/watch?v=MeZfP-JSJTw,,,2013
87,Mendocino,Michael Holm,https://youtu.be/cJJ4odOP96Q?t=7,,,1969
88,Zwei Senoritas,Sigrid & Marina,https://www.youtube.com/watch?v=fSsFkNRI-cQ,,,2010
89,Ich vermiss' Dich... (wie die Hölle),Zlatko,https://www.youtube.com/watch?v=_BLfvl2jGDc,,,2000
90,Du schaffst das schon,KLUBBB3,https://www.youtube.com/watch?v=wCDsm_dt1cI,,,2016
91,Tanze mit mir in den Morgen,Gerhard Wendland,https://www.youtube.com/watch?v=T1fXqPXBs-4,,,1961
92,Lass mi bei Dir sein,Atlantis,https://www.youtube.com/watch?v=dQh8Vej7b7M,,,1987
93,Rote Lippen Soll Man Küssen,Cliff Richard,https://www.youtube.com/watch?v=-MWgcVRJwsY,,,1963
94,Ich brauch ein bisschen Glück,Andy Borg,https://www.youtube.com/watch?v=Qlp0c19zndM,,,1994
95,Warum hast Du nicht nein gesagt Roland Kaiser, Maite Kelly,https://www.youtube.com/watch?v=BNHamTwxJ6Q,,,2014
96,Bierkapitän,"Markus Becker, Bierkapitän",https://www.youtube.com/watch?v=zkjECakayd8,,,2019
97,Glücksmoment,Prince Damien,https://www.youtube.com/watch?v=3RFnDpE3jGs,,,2016
98,Cordula Grün,Josh.,https://www.youtube.com/watch?v=uSbxCX2LVps,,,2018
99,Der geilste Fehler,Marina Marx,https://www.youtube.com/watch?v=bgEEOI2kP2c,,,2020
100,Regenbogenfarben,Kerstin Ott,https://www.youtube.com/watch?v=jaeeiWuXUoo,,,2018
101,Lovesong,Francine Jordi,https://www.youtube.com/watch?v=j-01cEqVdr4,,,2018
102,Tanze Samba mit mir,Tony Holiday,https://www.youtube.com/watch?v=ZYHO7BGiH54,,,1977
103,Herz ist Trumpf (Dann rufst du an...),Trio,https://www.youtube.com/watch?v=tuWQ6YAZeLs,,,1983
104,"Viva Colonia (Da simmer dabei, dat is prima!)",Höhner,https://www.youtube.com/watch?v=DD9oG1kIC2I,,,2003
105,Königin der Nacht,Cordalis,https://www.youtube.com/watch?v=unzyXAdUPNQ,,,2003
106,Es ist geil ein Arschloch zu sein,"Christian Möllmann",https://www.youtube.com/watch?v=bYqx4hlfhlk,,,2000
107,Männertango,Ella Endlich,https://www.youtube.com/watch?v=pnHVyCmbl1Q,,,2011
108,Sieben Leben für dich,Maite Kelly,https://www.youtube.com/watch?v=VOa30FJGd4w,,,2016
109,Ich bin wer ich sein will (feat. Allessa),"MusikApostel",https://www.youtube.com/watch?v=Op61Eg83abw,,,2019
110,Wie kannst du mich bloss lieben,Andy Borg,https://www.youtube.com/watch?v=N0aaPlL1Gng,,,2000
111,Wolke 7,Wolkenfrei,https://www.youtube.com/watch?v=dHHtPi-j7dQ,,,2015
112,Fiesta Mexicana,Rex Gildo,https://www.youtube.com/watch?v=H9acq30Xc88,,,1972
113,Sonderzug nach Pankow,Udo Lindenberg & Das Panik-Orchester,https://www.youtube.com/watch?v=tvsnQswy2MA,,,1983
114,Bruttosozialprodukt,Geier Sturzflug,https://www.youtube.com/watch?v=Zm8dk7SfV1E,,,1982
115,Trödler Abraham,Wolfram,https://www.youtube.com/watch?v=1cMWTPn73Bc,,,1970
116,Knutschen...ich kann nichts dafür,Linda Hesse,https://www.youtube.com/watch?v=ME_5F7H7EOA,,,2014
117,Ententanz (Ja wenn wir alle Englein wären),"Fred Sonnenschein & seine Freunde",https://www.youtube.com/watch?v=9nGIwVF5Re0,,,1981
